"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 07, 2019","87.751","86.646","89.317","85.270","267.68K","1.28%"
"Jun 06, 2019","86.645","84.759","87.059","83.109","257.71K","2.23%"
"Jun 05, 2019","84.759","83.310","86.691","82.945","85.01K","1.73%"
"Jun 04, 2019","83.321","89.073","89.087","81.337","76.65K","-6.46%"
"Jun 03, 2019","89.077","94.837","95.663","88.938","112.29K","-6.06%"
"Jun 02, 2019","94.828","92.579","95.979","92.439","73.57K","2.41%"
"Jun 01, 2019","92.599","93.100","93.713","91.024","50.20K","-0.54%"
"May 31, 2019","93.100","91.874","93.341","89.225","80.92K","1.33%"
"May 30, 2019","91.874","93.955","98.670","88.490","137.81K","-2.22%"
"May 29, 2019","93.961","95.748","95.770","90.437","133.37K","-1.87%"
"May 28, 2019","95.748","97.729","98.355","95.459","65.25K","-2.03%"
"May 27, 2019","97.729","91.542","98.627","91.441","100.12K","6.76%"
"May 26, 2019","91.542","86.766","92.286","85.129","91.97K","5.43%"
"May 25, 2019","86.824","85.276","87.190","85.163","71.52K","1.82%"
"May 24, 2019","85.276","84.492","86.745","83.410","69.56K","0.94%"
"May 23, 2019","84.483","83.153","85.085","80.778","47.68K","1.60%"
"May 22, 2019","83.154","88.731","91.132","83.106","109.59K","-6.39%"
"May 21, 2019","88.828","87.256","92.345","87.252","80.18K","1.75%"
"May 20, 2019","87.304","90.140","90.140","84.243","96.97K","-3.15%"
"May 19, 2019","90.140","79.709","90.424","79.517","120.54K","13.09%"
"May 18, 2019","79.709","82.638","83.174","79.044","62.23K","-3.54%"
"May 17, 2019","82.638","86.940","87.173","76.850","92.63K","-4.95%"
"May 16, 2019","86.940","93.882","96.958","84.677","107.77K","-7.45%"
"May 15, 2019","93.933","83.435","94.775","82.836","96.21K","12.54%"
"May 14, 2019","83.468","79.277","84.307","79.183","93.53K","5.27%"
"May 13, 2019","79.286","75.537","82.032","74.718","105.43K","4.96%"
"May 12, 2019","75.537","78.730","80.732","72.174","119.12K","-4.06%"
"May 11, 2019","78.733","68.972","81.507","68.972","154.13K","14.21%"
"May 10, 2019","68.936","65.661","69.254","65.219","88.06K","4.99%"
"May 09, 2019","65.661","68.189","69.249","64.468","113.32K","-3.71%"
"May 08, 2019","68.189","66.676","68.439","65.770","106.22K","2.27%"
"May 07, 2019","66.675","67.859","71.369","66.550","102.54K","-1.74%"
"May 06, 2019","67.859","66.861","68.539","65.220","97.74K","1.56%"
"May 05, 2019","66.815","68.765","69.420","66.230","101.84K","-2.84%"
"May 04, 2019","68.765","67.726","69.311","66.090","82.80K","1.53%"
"May 03, 2019","67.726","65.460","69.036","65.047","94.69K","3.46%"
"May 02, 2019","65.460","65.869","66.909","64.538","88.21K","-0.62%"
"May 01, 2019","65.869","62.873","65.914","62.873","63.83K","4.77%"
"Apr 30, 2019","62.873","61.146","62.975","60.949","90.14K","2.84%"
"Apr 29, 2019","61.137","62.054","62.501","60.417","112.74K","-1.48%"
"Apr 28, 2019","62.054","63.145","63.636","61.611","75.94K","-1.73%"
"Apr 27, 2019","63.145","62.517","64.409","62.187","88.04K","0.95%"
"Apr 26, 2019","62.551","61.412","65.152","60.221","124.70K","1.85%"
"Apr 25, 2019","61.412","67.491","67.491","61.412","115.02K","-9.01%"
"Apr 24, 2019","67.491","68.597","70.295","64.669","133.57K","-1.60%"
"Apr 23, 2019","68.590","68.247","70.528","67.728","110.22K","0.51%"
